"symbol"	"ensembl"	"cluster"
"170"	"RP11-465L10.7"	"ENSG00000240742.1"	6
"171"	"UQCRB"	"ENSG00000156467.5"	123
"172"	"OSBP"	"ENSG00000110048.7"	118
"173"	"RP4-758J18.2"	"ENSG00000224870.3"	2
"174"	"RNF5"	"ENSG00000204308.6"	110
"175"	"RP11-492E3.1"	"ENSG00000204054.5"	2
"176"	"RP11-419C5.2"	"ENSG00000226232.3"	3
"177"	"PCBP3"	"ENSG00000183570.10"	1
"178"	"SH3RF1"	"ENSG00000154447.10"	121
"179"	"DOC2A"	"ENSG00000149927.13"	12
"180"	"PEMT"	"ENSG00000133027.12"	3
"181"	"FNIP2"	"ENSG00000052795.8"	17
"182"	"RIC8B"	"ENSG00000111785.14"	119
"183"	"LNPEP"	"ENSG00000113441.11"	121
"184"	"NDUFB2"	"ENSG00000090266.7"	123
"185"	"SRPR"	"ENSG00000182934.6"	126
"186"	"MRPL22"	"ENSG00000082515.12"	3
"187"	"MERTK"	"ENSG00000153208.12"	107
"188"	"PGAP3"	"ENSG00000161395.8"	2
"189"	"FAM178A"	"ENSG00000119906.6"	106
"190"	"ZBED3"	"ENSG00000132846.5"	106
"191"	"DOCK10"	"ENSG00000135905.13"	110
"192"	"DHDDS"	"ENSG00000117682.11"	13
"193"	"ZKSCAN5"	"ENSG00000196652.7"	119
"194"	"PLXDC1"	"ENSG00000161381.9"	121
"195"	"MGA"	"ENSG00000174197.12"	111
"196"	"GALNTL1"	"ENSG00000100626.11"	17
"197"	"ETV3"	"ENSG00000117036.7"	118
"198"	"RMI2"	"ENSG00000175643.7"	14
"199"	"ARFGEF1"	"ENSG00000066777.3"	128
"200"	"C10orf76"	"ENSG00000120029.8"	4
"201"	"RP11-597D13.7"	"ENSG00000251429.1"	110
"202"	"USP18"	"ENSG00000184979.9"	2
"203"	"LPCAT3"	"ENSG00000111684.6"	2
"204"	"PEAR1"	"ENSG00000187800.9"	112
"205"	"SOSTDC1"	"ENSG00000171243.7"	22
"206"	"ZCCHC3"	"ENSG00000177764.6"	119
"207"	"MPHOSPH6"	"ENSG00000135698.5"	10
"208"	"KCNJ11"	"ENSG00000187486.5"	18
"209"	"SPSB1"	"ENSG00000171621.9"	5
"210"	"PLEKHM1P"	"ENSG00000214176.5"	2
"211"	"PDZRN4"	"ENSG00000165966.10"	118
"212"	"TRAF3IP2"	"ENSG00000056972.14"	5
"213"	"PRKACB"	"ENSG00000142875.14"	125
"214"	"SMARCC1"	"ENSG00000173473.6"	109
"215"	"HOOK3"	"ENSG00000168172.3"	9
"216"	"RBM4B"	"ENSG00000173914.5"	109
"217"	"U73167.7"	"ENSG00000232352.1"	2
"218"	"ISCA1"	"ENSG00000135070.9"	125
"219"	"ATAD3C"	"ENSG00000215915.5"	6
"220"	"PRDX1"	"ENSG00000117450.9"	113
"221"	"RP11-403I13.8"	"ENSG00000235999.1"	16
"222"	"DENND5A"	"ENSG00000184014.3"	111
"223"	"ATP6V0E1"	"ENSG00000113732.4"	114
"224"	"CA7"	"ENSG00000168748.9"	19
"225"	"GNL2"	"ENSG00000134697.7"	3
"226"	"SYNRG"	"ENSG00000006114.11"	109
"227"	"N4BP1"	"ENSG00000102921.3"	6
"228"	"GAB1"	"ENSG00000109458.4"	111
"229"	"JMY"	"ENSG00000152409.8"	21
"230"	"COMMD9"	"ENSG00000110442.7"	1
"231"	"UNC13D"	"ENSG00000092929.7"	116
"232"	"ISLR2"	"ENSG00000167178.11"	19
"233"	"OVGP1"	"ENSG00000085465.11"	3
"234"	"TANC2"	"ENSG00000170921.10"	21
"235"	"AKR1C2"	"ENSG00000151632.11"	119
"236"	"SPOCK2"	"ENSG00000107742.7"	122
"237"	"TMEM86B"	"ENSG00000180089.4"	1
"238"	"ADCY2"	"ENSG00000078295.11"	107
"239"	"TTLL4"	"ENSG00000135912.6"	106
"240"	"RBM15B"	"ENSG00000179837.6"	16
"241"	"PDE1C"	"ENSG00000154678.12"	110
"242"	"UBE2N"	"ENSG00000177889.5"	14
"243"	"FAM185A"	"ENSG00000222011.4"	151
"244"	"C21orf119"	"ENSG00000256073.1"	3
"245"	"RP11-416A17.6"	"ENSG00000257246.1"	1
"246"	"RP11-108M9.4"	"ENSG00000238142.1"	114
"247"	"VTA1"	"ENSG00000009844.10"	125
"248"	"EML2"	"ENSG00000125746.10"	110
"249"	"ZCCHC17"	"ENSG00000121766.10"	3
"250"	"MRPS25"	"ENSG00000131368.3"	13
"251"	"PCDHGA2"	"ENSG00000081853.13"	108
"252"	"MZT1"	"ENSG00000204899.5"	21
"253"	"CXCL14"	"ENSG00000145824.8"	107
"254"	"CREM"	"ENSG00000095794.14"	113
"255"	"POU6F1"	"ENSG00000184271.11"	16
"256"	"STEAP2"	"ENSG00000157214.8"	14
"257"	"CSPG4"	"ENSG00000173546.7"	112
"258"	"NUDT1"	"ENSG00000106268.11"	116
"259"	"B3GNT4"	"ENSG00000176383.8"	19
"260"	"PRPF31"	"ENSG00000105618.9"	6
"261"	"PTCD2"	"ENSG00000049883.9"	126
"262"	"CACNA1H"	"ENSG00000196557.6"	19
"263"	"AC109486.1"	"ENSG00000224838.2"	8
"264"	"ZNF32"	"ENSG00000169740.8"	117
"265"	"MAN2A2"	"ENSG00000196547.9"	121
"266"	"VAC14"	"ENSG00000103043.10"	1
"267"	"KIAA1468"	"ENSG00000134444.9"	125
"268"	"ANKRD27"	"ENSG00000105186.8"	117
"269"	"ISG20L2"	"ENSG00000143319.11"	19
"270"	"ZFYVE19"	"ENSG00000166140.12"	7
"271"	"NDUFV2"	"ENSG00000178127.8"	14
"272"	"STOX1"	"ENSG00000165730.10"	107
"273"	"RP11-152F13.5"	"ENSG00000196648.6"	48
"274"	"ZNF566"	"ENSG00000186017.10"	4
"275"	"MORF4L2"	"ENSG00000123562.11"	126
"276"	"RP11-374M1.4"	"ENSG00000223379.1"	8
"277"	"CCDC90B"	"ENSG00000137500.5"	123
"278"	"SYNJ1"	"ENSG00000159082.12"	125
"279"	"BLCAP"	"ENSG00000166619.7"	16
"280"	"UBE2Z"	"ENSG00000159202.12"	119
"281"	"CDK5RAP2"	"ENSG00000136861.12"	11
"282"	"GUSBP4"	"ENSG00000215190.4"	12
"283"	"LINC00662"	"ENSG00000261824.2"	9
"284"	"ICA1"	"ENSG00000003147.13"	13
"285"	"NUDT16"	"ENSG00000198585.7"	110
"286"	"OSBPL5"	"ENSG00000021762.15"	1
"287"	"TM9SF3"	"ENSG00000077147.10"	121
"288"	"WIF1"	"ENSG00000156076.5"	107
"289"	"BMPER"	"ENSG00000164619.4"	199
"290"	"OBSL1"	"ENSG00000124006.8"	4
"291"	"TRIM25"	"ENSG00000121060.10"	114
"292"	"CLCN4"	"ENSG00000073464.7"	125
"293"	"FANCL"	"ENSG00000115392.7"	6
"294"	"NUDT4"	"ENSG00000173598.9"	233
"295"	"TMEM30A"	"ENSG00000112697.11"	123
"296"	"WAS"	"ENSG00000015285.6"	5
"297"	"FBXO6"	"ENSG00000116663.6"	4
"298"	"TTBK1"	"ENSG00000146216.6"	16
"299"	"AS3MT"	"ENSG00000214435.3"	1
"300"	"C16orf48"	"ENSG00000124074.6"	5
"301"	"NLGN2"	"ENSG00000169992.5"	121
"302"	"COL4A3BP"	"ENSG00000113163.9"	118
"303"	"SUGP1"	"ENSG00000105705.9"	1
"304"	"PPARA"	"ENSG00000186951.12"	108
"305"	"ZNF425"	"ENSG00000204947.4"	13
"306"	"PCMTD2"	"ENSG00000203880.6"	111
"307"	"TYSND1"	"ENSG00000156521.9"	1
"308"	"RP13-514E23.1"	"ENSG00000261496.1"	22
"309"	"ZNF487P"	"ENSG00000243660.3"	7
"310"	"APPL1"	"ENSG00000157500.5"	21
"311"	"UPF2"	"ENSG00000151461.14"	6
"312"	"NARG2"	"ENSG00000128915.7"	109
"313"	"RP11-631M6.2"	"ENSG00000250461.1"	10
"314"	"OTUD3"	"ENSG00000169914.5"	251
"315"	"STXBP5L"	"ENSG00000145087.8"	21
"316"	"ITGB3BP"	"ENSG00000142856.12"	1
"317"	"CRH"	"ENSG00000147571.3"	12
"318"	"RBM12"	"ENSG00000244462.3"	123
"319"	"PDCD4"	"ENSG00000150593.11"	110
"320"	"MED8"	"ENSG00000159479.12"	233
"321"	"NDUFS4"	"ENSG00000164258.7"	123
"322"	"TTLL1"	"ENSG00000100271.11"	13
"323"	"WDR90"	"ENSG00000161996.13"	1
"324"	"UBC"	"ENSG00000150991.9"	117
"325"	"DMRTC1"	"ENSG00000159123.10"	12
"326"	"CTC1"	"ENSG00000178971.9"	18
"327"	"SBNO2"	"ENSG00000064932.11"	115
"328"	"HAUS5"	"ENSG00000249115.3"	6
"329"	"MSANTD4"	"ENSG00000170903.6"	118
"330"	"SPRED1"	"ENSG00000166068.8"	118
"331"	"ZFHX2"	"ENSG00000136367.10"	17
"332"	"STXBP5-AS1"	"ENSG00000233452.1"	13
"333"	"MYSM1"	"ENSG00000162601.5"	125
"334"	"MTIF3"	"ENSG00000122033.9"	8
"335"	"PREP"	"ENSG00000085377.9"	23
"336"	"MARCH1"	"ENSG00000145416.9"	118
"337"	"PHACTR3"	"ENSG00000087495.12"	108
"338"	"SZRD1"	"ENSG00000055070.12"	108
"339"	"NPIPL3"	"ENSG00000169246.11"	2
"340"	"TBC1D4"	"ENSG00000136111.8"	121
"341"	"SLC20A1"	"ENSG00000144136.6"	125
"342"	"PTPN12"	"ENSG00000127947.10"	113
"343"	"ADIPOR2"	"ENSG00000006831.9"	110
"344"	"RHEB"	"ENSG00000106615.5"	123
"345"	"ENOX1"	"ENSG00000120658.8"	198
"346"	"RASD2"	"ENSG00000100302.6"	16
"347"	"PRRT2"	"ENSG00000167371.12"	12
"348"	"ZNF318"	"ENSG00000171467.10"	118
"349"	"C2orf47"	"ENSG00000162972.6"	126
"350"	"TONSL"	"ENSG00000160949.12"	17
"351"	"ZNF664"	"ENSG00000179195.10"	111
"352"	"RP11-671M22.1"	"ENSG00000184206.7"	9
"353"	"TIPIN"	"ENSG00000075131.5"	106
"354"	"RP11-423G4.7"	"ENSG00000260987.1"	14
"355"	"RP11-49C24.1"	"ENSG00000260023.1"	4
"356"	"PSMB5"	"ENSG00000100804.14"	126
"357"	"BOLA3-AS1"	"ENSG00000225439.2"	125
"358"	"NOTCH2"	"ENSG00000134250.12"	107
"359"	"RECQL"	"ENSG00000004700.11"	121
"360"	"FXYD6"	"ENSG00000137726.11"	16
"361"	"PAQR3"	"ENSG00000163291.10"	125
"362"	"NCAPH2"	"ENSG00000025770.13"	1
"363"	"RP11-1415C14.4"	"ENSG00000254701.2"	9
"364"	"APBA2"	"ENSG00000034053.10"	23
"365"	"UBE2J1"	"ENSG00000198833.6"	118
"366"	"FXYD3"	"ENSG00000089356.11"	114
"367"	"NALCN"	"ENSG00000102452.11"	21
"368"	"RP11-122A8.4"	"ENSG00000260992.1"	3
"369"	"TNFAIP8L3"	"ENSG00000183578.5"	23
"370"	"FDX1L"	"ENSG00000167807.10"	4
"371"	"KIAA1324"	"ENSG00000116299.11"	19
"372"	"POPDC3"	"ENSG00000132429.5"	22
"373"	"CLPB"	"ENSG00000162129.7"	119
"374"	"ULK1"	"ENSG00000177169.3"	16
"375"	"CTD-2380F24.1"	"ENSG00000261195.1"	109
"376"	"AZI1"	"ENSG00000141577.8"	1
"377"	"PBX1"	"ENSG00000185630.12"	125
"378"	"PNMA6C"	"ENSG00000235961.2"	12
"379"	"PBX2"	"ENSG00000204304.5"	119
"380"	"C19orf73"	"ENSG00000221916.2"	4
"381"	"TRMT44"	"ENSG00000155275.14"	125
"382"	"SORBS2"	"ENSG00000154556.13"	21
"383"	"DENND1A"	"ENSG00000119522.11"	16
"384"	"P2RX5"	"ENSG00000083454.17"	16
"385"	"HINT1"	"ENSG00000169567.7"	126
"386"	"CFB"	"ENSG00000243649.4"	8
"387"	"C7orf73"	"ENSG00000243317.3"	107
"388"	"CDO1"	"ENSG00000129596.4"	126
"389"	"ZDHHC13"	"ENSG00000177054.9"	22
"390"	"CRYL1"	"ENSG00000165475.9"	106
"391"	"RP11-2E17.1"	"ENSG00000259417.2"	108
"392"	"AC004057.1"	"ENSG00000196656.6"	5
"393"	"CPT2"	"ENSG00000157184.5"	106
"394"	"CRTAC1"	"ENSG00000095713.9"	22
"395"	"PI4K2A"	"ENSG00000155252.12"	18
"396"	"C14orf93"	"ENSG00000100802.10"	109
"397"	"MAFK"	"ENSG00000198517.5"	5
"398"	"KIF1B"	"ENSG00000054523.12"	121
"399"	"RNASET2"	"ENSG00000026297.11"	5
"400"	"GPR6"	"ENSG00000146360.7"	17
"401"	"BEAN1"	"ENSG00000166546.8"	17
"402"	"FAT3"	"ENSG00000165323.11"	23
"403"	"RPS24"	"ENSG00000138326.13"	116
"404"	"MFN2"	"ENSG00000116688.10"	121
"405"	"GCK"	"ENSG00000106633.11"	5
"406"	"RXRB"	"ENSG00000204231.6"	128
"407"	"RPL9"	"ENSG00000163682.11"	121
"408"	"PTPRR"	"ENSG00000153233.8"	21
"409"	"ABHD5"	"ENSG00000011198.3"	113
"410"	"FOSL2"	"ENSG00000075426.7"	115
"411"	"MFAP3L"	"ENSG00000198948.6"	113
"412"	"LIMD2"	"ENSG00000136490.4"	1
"413"	"HSD17B6"	"ENSG00000025423.7"	107
"414"	"RHOC"	"ENSG00000155366.11"	115
"415"	"SLC25A39"	"ENSG00000013306.11"	5
"416"	"CBX5"	"ENSG00000094916.8"	118
"417"	"DLC1"	"ENSG00000164741.9"	111
"418"	"MICAL1"	"ENSG00000135596.13"	1
"419"	"DCP2"	"ENSG00000172795.11"	21
"420"	"FKBP5"	"ENSG00000096060.9"	114
"421"	"CD99L2"	"ENSG00000102181.15"	14
"422"	"DNAJA2"	"ENSG00000069345.7"	126
"423"	"UQCRC1"	"ENSG00000010256.6"	1
"424"	"CALHM2"	"ENSG00000138172.6"	17
"425"	"OTUB1"	"ENSG00000167770.7"	14
"426"	"EIF2AK2"	"ENSG00000055332.11"	21
"427"	"ENDOV"	"ENSG00000173818.12"	1
"428"	"EHD4"	"ENSG00000103966.5"	113
"429"	"INTS4"	"ENSG00000149262.11"	8
"430"	"RP1-228H13.5"	"ENSG00000260920.1"	22
"431"	"ZNF880"	"ENSG00000221923.3"	106
"432"	"GADD45A"	"ENSG00000116717.7"	115
"433"	"FAM63A"	"ENSG00000143409.11"	109
"434"	"APOL2"	"ENSG00000128335.9"	17
"435"	"ZDHHC20"	"ENSG00000180776.11"	118
"436"	"RP11-69E11.4"	"ENSG00000182109.3"	1
"437"	"RTEL1-TNFRSF6B"	"ENSG00000026036.16"	1
"438"	"ABCC1"	"ENSG00000103222.14"	18
"439"	"SMARCD1"	"ENSG00000066117.10"	2
"440"	"STAT1"	"ENSG00000115415.14"	123
"441"	"IL18BP"	"ENSG00000137496.13"	115
"442"	"PPP1R3C"	"ENSG00000119938.8"	107
"443"	"BAZ2A"	"ENSG00000076108.7"	110
"444"	"JDP2"	"ENSG00000140044.8"	17
"445"	"ZC3H18"	"ENSG00000158545.11"	6
"446"	"PWWP2B"	"ENSG00000171813.10"	18
"447"	"POMC"	"ENSG00000115138.6"	18
"448"	"TSC2"	"ENSG00000103197.12"	2
"449"	"METTL22"	"ENSG00000067365.10"	3
"450"	"ATOH8"	"ENSG00000168874.8"	114
"451"	"SS18"	"ENSG00000141380.9"	107
"452"	"HSPA1L"	"ENSG00000204390.8"	117
"453"	"CACNG2"	"ENSG00000166862.6"	8
"454"	"JMJD7-PLA2G4B"	"ENSG00000168970.15"	3
"455"	"RP11-791G16.2"	"ENSG00000227304.3"	1
"456"	"TUBGCP5"	"ENSG00000153575.6"	122
"457"	"CAP2"	"ENSG00000112186.7"	22
"458"	"ECE2"	"ENSG00000145194.13"	2
"459"	"C7orf25"	"ENSG00000136197.7"	17
"460"	"ZNF700"	"ENSG00000196757.2"	107
"461"	"LDB2"	"ENSG00000169744.8"	22
"462"	"STRN4"	"ENSG00000090372.7"	16
"463"	"B4GALT1"	"ENSG00000086062.8"	115
"464"	"LNX1"	"ENSG00000072201.9"	22
"465"	"CMTM3"	"ENSG00000140931.15"	116
"466"	"RP11-386G11.5"	"ENSG00000257913.1"	17
"467"	"AC074117.10"	"ENSG00000234072.1"	5
"468"	"NOMO3"	"ENSG00000103226.13"	4
"469"	"PCBP1"	"ENSG00000169564.5"	117
"470"	"AC012615.1"	"ENSG00000198683.2"	3
"471"	"MANBA"	"ENSG00000109323.4"	123
"472"	"SCN2B"	"ENSG00000149575.5"	16
"473"	"CRIP1"	"ENSG00000213145.5"	112
"474"	"TOPORS-AS1"	"ENSG00000235453.3"	106
"475"	"LRRC41"	"ENSG00000132128.12"	122
"476"	"SYCE1L"	"ENSG00000205078.5"	1
"477"	"HDAC2"	"ENSG00000196591.7"	126
"478"	"POLR1D"	"ENSG00000186184.11"	117
"479"	"CTC-479C5.10"	"ENSG00000263126.1"	6
"480"	"RNF112"	"ENSG00000128482.10"	12
"481"	"TBC1D9B"	"ENSG00000197226.8"	109
"482"	"KIAA0240"	"ENSG00000112624.7"	125
"483"	"CELSR3"	"ENSG00000008300.10"	17
"484"	"MRPS34"	"ENSG00000074071.8"	18
"485"	"ST20"	"ENSG00000180953.7"	4
"486"	"SEPP1"	"ENSG00000250722.1"	110
"487"	"ANO4"	"ENSG00000151572.12"	118
"488"	"PTS"	"ENSG00000150787.3"	14
"489"	"SLC29A2"	"ENSG00000174669.7"	4
"490"	"ABCF2"	"ENSG00000033050.3"	119
"491"	"NXT2"	"ENSG00000101888.7"	107
"492"	"SLC35F3"	"ENSG00000183780.8"	17
"493"	"CD63"	"ENSG00000135404.6"	115
"494"	"GOT1"	"ENSG00000120053.9"	131
"495"	"RNF115"	"ENSG00000121848.8"	9
"496"	"NRIP3"	"ENSG00000175352.6"	12
"497"	"C12orf50"	"ENSG00000165805.4"	8
"498"	"C1orf228"	"ENSG00000198520.6"	2
"499"	"IQSEC1"	"ENSG00000144711.9"	125
"500"	"ECE1"	"ENSG00000117298.10"	114
"501"	"FGF12"	"ENSG00000114279.8"	21
"502"	"NSMCE1"	"ENSG00000169189.12"	106
"503"	"PPARD"	"ENSG00000112033.9"	6
"504"	"RP1-179N16.6"	"ENSG00000246982.2"	8
"505"	"PRPF19"	"ENSG00000110107.4"	12
"506"	"CTDNEP1"	"ENSG00000175826.7"	7
"507"	"UPF3AP3"	"ENSG00000234709.1"	9
